trials.thisRepN	num_distr	target.started	mouse.time	mouse.clicked_name	mouse.leftButton
460	15	1260.395459	0.124064	target	1
461	20	1262.384608	0.1306419	target	1
462	20	1264.948555	0.1267122	target	1
463	15	1267.739289	0.095664	target	1
464	20	1270.096464	0.1305097	target	1
465	20	1272.378956	0.1253743	target	1
466	15	1274.366329	0.0965787	target	1
467	15	1277.22946	0.0967992	target	1
468	20	1279.646887	0.1255116	target	1
469	15	1282.618663	0.0992316	target	1
470	15	1284.185792	0.0994199	target	1
471	15	1286.627567	0.0979444	target	1
472	15	1288.913108	0.1044498	target	1
473	15	1290.63414	0.0969145	target	1
474	20	1293.065267	0.1275939	target	1
475	15	1297.176455	0.0962012	target	1
476	20	1300.40609	0.1308892	target	1
477	15	1303.090794	0.1011462	target	1
478	20	1305.062936	0.1269144	target	1
479	15	1308.260456	0.0966282	target	1
480	15	1309.698138	0.0965868	target	1
481	20	1312.687402	0.1273513	target	1
482	20	1314.953449	0.1258074	target	1
483	20	1317.38104	0.1258321	target	1
484	15	1319.675803	0.1045509	target	1
485	15	1323.837694	0.096987	target	1
486	15	1326.052551	0.0961011	target	1
487	20	1328.2026	0.1241575	target	1
488	20	1329.760275	0.1290419	target	1
489	15	1331.58429	0.0972149	target	1
490	15	1334.830712	0.1230502	target	1
491	20	1337.126447	0.1271616	target	1
492	15	1339.810427	0.0969852	target	1
493	20	1342.758152	0.1271185	target	1
494	15	1347.220608	0.095299	target	1
495	15	1350.155756	0.0961152	target	1
496	20	1352.675453	0.1278451	target	1
497	20	1355.470059	0.1249111	target	1
498	15	1357.9646	0.0993784	target	1
499	15	1360.549966	0.095805	target	1
